Number_of_People_Involved,Severity_Code,Person_Sex,Seatbelt_Used,Age,Vehicle_Type,Passenger_Present,Hour_of_Registration
1,0,0,0,0.2328767123287671,0,0,2
2,1,1,1,0.3287671232876712,1,0,2
3,1,0,1,0.1917808219178082,1,1,2
1,0,1,1,0.7397260273972602,2,1,5
2,1,0,1,0.5068493150684931,2,0,5
1,1,0,1,0.1506849315068493,2,0,6
2,0,1,1,0.2054794520547945,1,0,6
3,0,0,1,0.28767123287671226,1,1,6
1,1,0,1,0.1643835616438356,1,0,7
2,0,0,1,0.26027397260273977,3,0,7
3,0,0,1,0.3013698630136986,3,1,7
1,0,0,1,0.0958904109589041,3,0,7
2,1,0,1,0.45205479452054786,1,0,7
1,1,0,1,0.136986301369863,3,0,7
2,0,0,1,0.1232876712328767,3,0,7
3,0,1,1,0.1643835616438356,3,1,7
1,0,0,1,0.136986301369863,3,0,8
2,1,0,1,0.2054794520547945,1,0,8
1,0,0,1,0.2191780821917808,3,0,8
2,1,0,1,0.0821917808219178,1,0,8
3,1,1,1,0.1917808219178082,1,1,8
1,0,0,1,0.0821917808219178,3,0,12
2,1,1,1,0.0958904109589041,1,0,12
1,0,0,1,0.0410958904109589,3,0,12
2,1,0,1,0.2465753424657534,4,0,12
1,0,0,1,0.3013698630136986,3,0,13
2,1,0,1,0.1232876712328767,1,0,13
1,1,0,1,0.31506849315068497,5,0,15
2,0,0,1,0.0547945205479452,3,0,15
1,0,0,1,0.1917808219178082,3,0,15
2,0,0,1,0.3561643835616438,3,0,15
1,0,0,1,0.26027397260273977,3,0,15
1,0,0,1,0.3013698630136986,3,0,16
2,0,1,1,0.3561643835616438,1,0,16
3,1,0,1,0.3287671232876712,1,0,16
4,1,0,1,0.1506849315068493,5,0,16
6,0,0,0,0.3561643835616438,1,1,16
7,0,0,1,0.3013698630136986,1,0,16
8,0,0,1,0.1917808219178082,4,0,16
9,1,0,1,0.2465753424657534,1,1,16
11,0,0,1,0.0958904109589041,6,0,16
12,1,0,1,0.1643835616438356,5,0,16
13,1,0,1,0.1917808219178082,1,1,16
14,1,0,1,0.1643835616438356,6,0,16
15,1,1,1,0.136986301369863,1,0,16
16,1,0,1,0.26027397260273977,1,0,16
17,1,0,1,0.28767123287671226,1,0,16
1,1,1,1,0.1232876712328767,1,0,20
1,1,1,1,0.2054794520547945,1,0,16
2,0,0,1,0.1780821917808219,3,0,16
